N,Time_N,Iout,Ibat,I3,Uout,Ubat,U3,Tcase,Error,State,Message,Flag,Manual,Trim,Relay,Input,Ndigits_AB,Tdigits_AB,N_KAN,Reg_1000_n,Uout_n,Iout_n,Mode_n,Uset_n,Iset_n,Uab_n,Uac_n,Ubc_n,T_n,Work_KAN,F_CAP_SUM_KIP,T_KKM1_HAWK,T_KKM2_HAWK,T_CASE_HAWK,T_AIR_HAWK,RELAY_STATE
1,2023-06-04T13:22:42.138Z,0,0,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,1,nan,0 - respond,0,0.18,0.01,Off,29,167,242,0,0,23,1,0,22,21,23,21.2,1
2,2023-06-04T13:22:43.133Z,0,-0.01,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,2,nan,0 - respond,0,0.18,0.01,Off,29,167,242,0,0,23,1,0,21,21,23,21.3,1
3,2023-06-04T13:22:44.130Z,0,-0.01,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Разбаланс батареи,Off,Avto,22.4,16,60,3,nan,0 - respond,0,0.18,0.01,Off,29,167,242,0,0,23,1,0,22,21,23,21.2,1
4,2023-06-04T13:22:45.197Z,0,0,0,0,22.79,-0.01,2310,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,4,nan,0 - respond,0,0.18,0.01,Off,29,167,242,0,0,23.1,1,0,22,21,23.1,21.3,1
5,2023-06-04T13:22:46.791Z,0,-0.01,0,0,22.78,-0.01,2310,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,1,nan,0 - respond,0,0.18,0.01,Off,29,167,241,0,0,23.1,1,0,22,22,23.1,21.3,1
6,2023-06-04T13:22:47.671Z,0,0,0,0,22.79,-0.01,2310,Ошибок нет!,Выкл.,Разбаланс батареи,Off,Avto,22.4,16,60,2,nan,0 - respond,0,0.18,0.01,Off,29,167,241,0,0,23.1,1,0,22,21,23.1,21.3,1
7,2023-06-04T13:22:48.552Z,0,-0.01,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,3,nan,0 - respond,0,0.18,0.01,Off,29,167,241,0,0,23,1,0,22,21,23,21.3,1
8,2023-06-04T13:22:49.306Z,0,0,0,0,22.78,-0.01,2310,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,4,nan,0 - respond,0,0.18,0.01,Off,29,167,241,0,0,23.1,1,0,22,21,23.1,21.3,1
9,2023-06-04T13:22:50.988Z,0,-0.01,0,0,22.77,-0.01,2310,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,1,nan,0 - respond,0,0.18,0.01,Off,29,167,241,0,0,23.1,1,0,22,21,23.1,21.3,1
10,2023-06-04T13:22:51.790Z,0,-0.01,0,0,22.77,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,2,nan,0 - respond,0,0.18,0.01,Off,29,167,241,0,0,23,1,0,22,21,23,21.3,1
11,2023-06-04T13:22:52.538Z,0,0,0,0,22.79,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,3,nan,0 - respond,0,0.18,0.01,Off,29,167,241,0,0,23,1,0,22,22,23,21.3,1
12,2023-06-04T13:22:53.290Z,0,-0.01,0,0,22.77,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,4,nan,0 - respond,0,0.18,0.01,Off,29,167,241,0,0,23,1,0,22,21,23,21.3,1
13,2023-06-04T13:22:54.130Z,0,0,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,1,nan,0 - respond,0,0.18,0.01,Off,29,167,241,0,0,23,1,0,22,22,23,21.3,1
14,2023-06-04T13:22:55.130Z,0,-0.01,0,0,22.77,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,2,nan,0 - respond,0,0.18,0.01,Off,29,167,241,0,0,23,1,0,22,21,23,21.3,1
15,2023-06-04T13:22:56.141Z,0,-0.01,0,0,22.77,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,3,nan,0 - respond,0,0.18,0.01,Off,29,167,241,0,0,23,1,0,22,21,23,21.3,1
16,2023-06-04T13:22:57.129Z,0,-0.01,0,0,22.77,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,4,nan,0 - respond,0,0.18,0.01,Off,29,167,240,0,0,23,1,0,21,21,23,21.3,1
17,2023-06-04T13:22:58.131Z,0,0.01,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,1,nan,0 - respond,0,0.17,0.01,Off,29,167,241,0,0,23,1,0,21,21,23,21.3,1
18,2023-06-04T13:22:59.132Z,0,-0.01,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Разбаланс батареи,Off,Avto,22.4,16,60,2,nan,0 - respond,0,0.18,0.01,Off,29,167,241,0,0,23,1,0,22,21,23,21.3,1
19,2023-06-04T13:23:00.132Z,0,-0.01,0,0,22.77,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,3,nan,0 - respond,0,0.17,0.01,Off,29,167,241,0,0,23,1,0,22,21,23,21.3,1
20,2023-06-04T13:23:01.131Z,0,-0.01,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,4,nan,0 - respond,0,0.17,0.01,Off,29,167,241,0,0,23,1,0,22,21,23,21.3,1
21,2023-06-04T13:23:02.130Z,0,-0.01,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,1,nan,0 - respond,0,0.17,0.01,Off,29,167,241,0,0,23,1,0,22,21,23,21.4,1
22,2023-06-04T13:23:03.158Z,0,-0.01,0,0,22.77,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,2,nan,0 - respond,0,0.17,0.01,Off,29,167,241,0,0,23,1,0,22,21,23,21.3,1
23,2023-06-04T13:23:04.133Z,0,0,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,3,nan,0 - respond,0,0.17,0.01,Off,29,167,241,0,0,23,1,0,21,22,23,21.4,1
24,2023-06-04T13:23:05.124Z,0,0,0,0,22.77,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,4,nan,0 - respond,0,0.17,0.01,Off,29,167,241,0,0,23,1,0,22,21,23,21.3,1
25,2023-06-04T13:23:06.145Z,0,-0.01,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Разбаланс батареи,Off,Avto,22.4,16,60,1,nan,0 - respond,0,0.17,0,Off,29,167,241,0,0,23,1,0,22,22,23,21.4,1
26,2023-06-04T13:23:07.131Z,0,0,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,2,nan,0 - respond,0,0.17,0.01,Off,29,167,241,0,0,23,1,0,22,21,23,21.4,1
27,2023-06-04T13:23:08.132Z,0,0,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,3,nan,0 - respond,0,0.17,0.01,Off,29,167,241,0,0,23,1,0,22,21,23,21.4,1
28,2023-06-04T13:23:09.131Z,0,-0.01,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,4,nan,0 - respond,0,0.17,0.01,Off,29,167,241,0,0,23,1,0,22,22,23,21.4,1
29,2023-06-04T13:23:10.129Z,0,0,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,1,nan,0 - respond,0,0.17,0.01,Off,29,167,241,0,0,23,1,0,22,21,23,21.4,1
30,2023-06-04T13:23:11.134Z,0,0.01,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,2,nan,0 - respond,0,0.17,0.01,Off,29,167,242,0,0,23,1,0,22,22,23,21.4,1
31,2023-06-04T13:23:12.132Z,0,-0.01,0,0,22.77,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,3,nan,0 - respond,0,0.17,0.01,Off,29,167,242,0,0,23,1,0,22,22,23,21.4,1
32,2023-06-04T13:23:13.131Z,0,0,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,4,nan,0 - respond,0,0.17,0.01,Off,29,167,242,0,0,23,1,0,22,21,23,21.3,1
33,2023-06-04T13:23:14.130Z,0,0,0,0,22.77,-0.01,2300,Ошибок нет!,Выкл.,Разбаланс батареи,Off,Avto,22.4,16,60,1,nan,0 - respond,0,0.17,0.01,Off,29,167,242,0,0,23,1,0,22,21,23,21.3,1
34,2023-06-04T13:23:15.131Z,0,-0.01,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,2,nan,0 - respond,0,0.17,0.01,Off,29,167,242,0,0,23,1,0,22,21,23,21.4,1
35,2023-06-04T13:23:16.131Z,0,-0.01,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,3,nan,0 - respond,0,0.17,0.01,Off,29,167,243,0,0,23,1,0,22,21,23,21.3,1
36,2023-06-04T13:23:17.128Z,0,-0.01,0,0,22.77,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,4,nan,0 - respond,0,0.17,0.01,Off,29,167,243,0,0,23,1,0,22,21,23,21.3,1
37,2023-06-04T13:23:18.132Z,0,0,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,Off,Avto,22.4,16,60,1,nan,0 - respond,0,0.17,0.01,Off,29,167,243,0,0,23,1,0,22,21,23,21.3,1
38,2023-06-04T13:23:19.632Z,0,0,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,On,Avto,22.4,16,60,2,nan,0 - respond,0,0.17,0.01,Off,29,167,243,0,0,23,1,0,22,21,23,21.3,1
39,2023-06-04T13:23:20.633Z,0,-0.01,0,0,22.78,-0.01,2300,Ошибок нет!,Выкл.,Iвых. почти макс.!,On,Avto,22.4,16,60,3,nan,0 - respond,0,0.17,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
40,2023-06-04T13:23:21.632Z,0,-3.19,0,0,22.13,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,4,nan,0 - respond,0,0.17,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
41,2023-06-04T13:23:22.634Z,0,-3.19,0,0,22.11,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,1,nan,0 - respond,0,0.17,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
42,2023-06-04T13:23:23.633Z,0,-3.19,0,0,22.08,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,2,nan,0 - respond,0,0.17,0,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
43,2023-06-04T13:23:24.632Z,0,-3.19,0,0,22.07,-0.01,2300,Ошибок нет!,SOD_15A_10s,Iвых. почти макс.!,On,Avto,14,112,56,3,nan,0 - respond,0,0.17,0.01,Off,29,167,244,0,0,23,1,0,22,21,23,21.3,1
