Iout_real,SOC,Uout_real,K_0 (const),Uout_real – K_0,U_out_mean (const),Uout_real – U_out_mean (x),U_out_variance (const),standard deviation (const),normal distribution,,,,,,,for R_k,
0,14.985,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,Covariances,Column 1 (Iout_real),Column 2 (SOC),,U_out_mean,U_out_variance
0,14.985,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,Column 1 (Iout_real),7.52487126065627,,,49.1790238593554,1.48342359495967
0,14.985,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,Column 2 (SOC),-0.455672464778597,2.16247347867783,,,
0,14.985,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
0,14.985,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
0.01,14.9850027777778,51.2,42.759,8.441,6.420024,2.020976,1.483424,1.21795894840508,0.000481,,,Covariances,Column 1 (Iout_real),Column 2 (SOC),,for R_k,
-0.01,14.985,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,Column 1 (Iout_real),7.52487126065627,-0.455672464778597,,U_out_mean,U_out_variance
0,14.985,51.2,42.759,8.441,6.420024,2.020976,1.483424,1.21795894840508,0.000481,,,Column 2 (SOC),-0.455672464778597,2.16247347867783,,49.1790238593554,1.48342359495967
0,14.985,51.2,42.759,8.441,6.420024,2.020976,1.483424,1.21795894840508,0.000481,,,,,,,,
0,14.985,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,P_k_1 (zero-state),,,,,
-0.01,14.9849972222222,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,Covariances,Column 1 (Iout_real),Column 2 (SOC),,for R_k,
-0.01,14.9849944444444,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,Column 1 (Iout_real),7.52487126065627,-0.455672464778597,,U_out_mean,U_out_variance
0,14.9849944444444,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,Column 2 (SOC),-0.455672464778597,2.16247347867783,,49.179024,1.483424
0,14.9849944444444,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
0,14.9849944444444,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
0.01,14.9849972222222,51.2,42.759,8.441,6.420024,2.020976,1.483424,1.21795894840508,0.000481,,,P_k_1 (zero-state),,,,for R_k,
0,14.9849972222222,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,Covariances,Column 1 (Iout_real),Column 2 (SOC),,U_out_mean,U_out_variance
0.01,14.985,51.2,42.759,8.441,6.420024,2.020976,1.483424,1.21795894840508,0.000481,,,Column 1 (Iout_real),7.524871,-0.455672,,6.420024,1.483424
0.01,14.9850027777778,51.2,42.759,8.441,6.420024,2.020976,1.483424,1.21795894840508,0.000481,,,Column 2 (SOC),-0.455672,2.162473,,,
0.01,14.9850055555556,51.2,42.759,8.441,6.420024,2.020976,1.483424,1.21795894840508,0.000481,,,,,,,,
0.01,14.9850083333333,51.2,42.759,8.441,6.420024,2.020976,1.483424,1.21795894840508,0.000481,,,K_0,,,,U_out_mean,U_out_variance
0,14.9850083333333,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,42.759,,,,6.42002385935538,1.48342359495966
0.01,14.9850111111111,51.2,42.759,8.441,6.420024,2.020976,1.483424,1.21795894840508,0.000481,,,,,,,,
-0.01,14.9850083333333,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
-0.01,14.9850055555556,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
-0.01,14.9850027777778,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
0,14.9850027777778,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
-0.01,14.985,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
-0.01,14.9849972222222,51.19,42.759,8.431,6.420024,2.010976,1.483424,1.21795894840508,0.000467,,,,,,,,
0,14.9849972222222,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
-0.01,14.9849944444444,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
-0.01,14.9849916666667,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
0,14.9849916666667,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
0,14.9849916666667,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
0,14.9849916666667,51.2,42.759,8.441,6.420024,2.020976,1.483424,1.21795894840508,0.000481,,,,,,,,
-0.01,14.9849888888889,51.15,42.759,8.391,6.420024,1.970976,1.483424,1.21795894840508,0.000415,,,,,,,,
0.01,14.9849916666667,51.2,42.759,8.441,6.420024,2.020976,1.483424,1.21795894840508,0.000481,,,,,,,,
-0.01,14.9849888888889,51.15,42.759,8.391,6.420024,1.970976,1.483424,1.21795894840508,0.000415,,,,,,,,
-0.01,14.9849861111111,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
-0.01,14.9849833333333,51.19,42.759,8.431,6.420024,2.010976,1.483424,1.21795894840508,0.000467,,,,,,,,
0,14.9849833333333,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
-0.01,14.9849805555556,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
-0.01,14.9849777777778,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
0,14.9849777777778,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
0,14.9849777777778,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
0.01,14.9849805555556,51.2,42.759,8.441,6.420024,2.020976,1.483424,1.21795894840508,0.000481,,,,,,,,
-0.01,14.9849777777778,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
0,14.9849777777778,51.19,42.759,8.431,6.420024,2.010976,1.483424,1.21795894840508,0.000467,,,,,,,,
-0.01,14.984975,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
0,14.984975,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
0,14.984975,51.17,42.759,8.411,6.420024,1.990976,1.483424,1.21795894840508,0.000440,,,,,,,,
0,14.984975,51.16,42.759,8.401,6.420024,1.980976,1.483424,1.21795894840508,0.000427,,,,,,,,
