Ibat,SOC,Ubat,,,,
0,4.95,22.78,,Covariances,Column 1,Column 2
-0.01,4.94999722222222,22.78,,Column 1,2.14161258154246,-0.0818246310184122
-0.01,4.94999444444445,22.78,,Column 2,-0.0818246310184122,0.209730105646057
0,4.94999444444445,22.79,,,,
-0.01,4.94999166666667,22.78,,,,
0,4.94999166666667,22.79,,,,
-0.01,4.94998888888889,22.78,,,,
0,4.94998888888889,22.78,,,,
-0.01,4.94998611111111,22.77,,,,
-0.01,4.94998333333334,22.77,,,,
0,4.94998333333334,22.79,,,,
-0.01,4.94998055555556,22.77,,,,
0,4.94998055555556,22.78,,,,
-0.01,4.94997777777778,22.77,,,,
-0.01,4.949975,22.77,,,,
-0.01,4.94997222222222,22.77,,,,
0.01,4.949975,22.78,,,,
-0.01,4.94997222222222,22.78,,,,
-0.01,4.94996944444445,22.77,,,,
-0.01,4.94996666666667,22.78,,,,
-0.01,4.94996388888889,22.78,,,,
-0.01,4.94996111111111,22.77,,,,
0,4.94996111111111,22.78,,,,
0,4.94996111111111,22.77,,,,
-0.01,4.94995833333334,22.78,,,,
0,4.94995833333334,22.78,,,,
0,4.94995833333334,22.78,,,,
-0.01,4.94995555555556,22.78,,,,
0,4.94995555555556,22.78,,,,
0.01,4.94995833333334,22.78,,,,
-0.01,4.94995555555556,22.77,,,,
0,4.94995555555556,22.78,,,,
0,4.94995555555556,22.77,,,,
-0.01,4.94995277777778,22.78,,,,
-0.01,4.94995,22.78,,,,
-0.01,4.94994722222223,22.77,,,,
0,4.94994722222223,22.78,,,,
0,4.94994722222223,22.78,,,,
-0.01,4.94994444444445,22.78,,,,
-3.19,4.94905833333334,22.13,,,,
-3.19,4.94817222222223,22.11,,,,
-3.19,4.94728611111112,22.08,,,,
-3.19,4.94640000000001,22.07,,,,
-3.18,4.94551666666667,22.05,,,,
-3.19,4.94463055555556,22.03,,,,
-3.19,4.94374444444445,22.01,,,,
-3.18,4.94286111111112,22.02,,,,
-3.18,4.94197777777778,22.01,,,,
-3.19,4.94109166666667,21.98,,,,
-3.19,4.94020555555556,21.98,,,,
-3.19,4.93931944444445,21.97,,,,
-3.19,4.93843333333334,21.97,,,,
-3.19,4.93754722222223,21.95,,,,
-3.19,4.93666111111112,21.96,,,,
-3.21,4.93576944444445,21.93,,,,
-3.18,4.93488611111112,21.95,,,,
-3.19,4.93400000000001,21.92,,,,
-3.21,4.93310833333334,21.91,,,,
-3.19,4.93222222222223,21.92,,,,
-3.19,4.93133611111112,21.91,,,,
-3.21,4.93044444444445,21.92,,,,
-3.19,4.92955833333334,21.91,,,,
-3.19,4.92867222222223,21.91,,,,
-3.19,4.92778611111112,21.89,,,,
-3.19,4.92690000000001,21.89,,,,
-3.19,4.9260138888889,21.89,,,,
-3.19,4.92512777777779,21.89,,,,
-3.19,4.92424166666667,21.88,,,,
-3.19,4.92335555555556,21.88,,,,
-0.01,4.92335277777779,22.5,,,,
-0.01,4.92335000000001,22.53,,,,
-0.01,4.92334722222223,22.54,,,,
-0.01,4.92334444444445,22.57,,,,
-0.01,4.92334166666668,22.57,,,,
-0.01,4.9233388888889,22.57,,,,
-0.01,4.92333611111112,22.6,,,,
-0.01,4.92333333333334,22.6,,,,
-0.01,4.92333055555557,22.62,,,,
-0.01,4.92332777777779,22.6,,,,
-0.01,4.92332500000001,22.62,,,,
0,4.92332500000001,22.63,,,,
-0.01,4.92332222222223,22.65,,,,
0,4.92332222222223,22.65,,,,
-0.01,4.92331944444446,22.63,,,,
0.01,4.92332222222223,22.66,,,,
-0.01,4.92331944444446,22.65,,,,
0,4.92331944444446,22.63,,,,
0,4.92331944444446,22.65,,,,
0,4.92331944444446,22.65,,,,
0,4.92331944444446,22.66,,,,
0,4.92331944444446,22.66,,,,
0.01,4.92332222222223,22.67,,,,
0,4.92332222222223,22.67,,,,
0,4.92332222222223,22.66,,,,
-0.01,4.92331944444446,22.66,,,,
0,4.92331944444446,22.66,,,,
0,4.92331944444446,22.66,,,,
-0.01,4.92331666666668,22.66,,,,
0,4.92331666666668,22.69,,,,
0,4.92331666666668,22.66,,,,
0,4.92331666666668,22.68,,,,
-0.01,4.9233138888889,22.68,,,,
-0.01,4.92331111111112,22.68,,,,
0,4.92331111111112,22.66,,,,
0,4.92331111111112,22.68,,,,
0,4.92331111111112,22.69,,,,
-0.01,4.92330833333334,22.68,,,,
-0.01,4.92330555555557,22.68,,,,
0,4.92330555555557,22.69,,,,
0,4.92330555555557,22.68,,,,
0.01,4.92330833333334,22.69,,,,
-0.01,4.92330555555557,22.68,,,,
0,4.92330555555557,22.69,,,,
0,4.92330555555557,22.68,,,,
-0.01,4.92330277777779,22.69,,,,
0,4.92330277777779,22.69,,,,
0,4.92330277777779,22.68,,,,
0,4.92330277777779,22.68,,,,
0.01,4.92330555555557,22.7,,,,
-0.01,4.92330277777779,22.69,,,,
0,4.92330277777779,22.71,,,,
0.01,4.92330555555557,22.69,,,,
-0.01,4.92330277777779,22.69,,,,
0,4.92330277777779,22.69,,,,
0,4.92330277777779,22.69,,,,
0,4.92330277777779,22.69,,,,
0,4.92330277777779,22.69,,,,
0,4.92330277777779,22.69,,,,
-0.01,4.92330000000001,22.69,,,,
-0.01,4.92329722222223,22.69,,,,
0,4.92329722222223,22.7,,,,
-0.03,4.9232888888889,22.69,,,,
4.82,4.92462777777779,23.7,,,,
4.8,4.92596111111112,23.72,,,,
4.8,4.92729444444446,23.76,,,,
4.8,4.92862777777779,23.79,,,,
4.8,4.92996111111112,23.82,,,,
4.8,4.93129444444446,23.84,,,,
4.8,4.93262777777779,23.87,,,,
4.8,4.93396111111112,23.88,,,,
4.8,4.93529444444446,23.9,,,,
4.8,4.93662777777779,23.91,,,,
4.8,4.93796111111112,23.94,,,,
4.82,4.93930000000001,23.95,,,,
4.82,4.9406388888889,23.97,,,,
4.8,4.94197222222223,23.97,,,,
4.8,4.94330555555557,23.99,,,,
4.8,4.9446388888889,24,,,,
4.82,4.94597777777779,24.03,,,,
4.8,4.94731111111112,24.03,,,,
4.8,4.94864444444446,24.03,,,,
4.8,4.94997777777779,24.06,,,,
4.8,4.95131111111112,24.06,,,,
4.8,4.95264444444446,24.06,,,,
4.8,4.95397777777779,24.09,,,,
4.8,4.95531111111112,24.09,,,,
4.8,4.95664444444445,24.1,,,,
4.8,4.95797777777779,24.1,,,,
4.8,4.95931111111112,24.12,,,,
0.01,4.9593138888889,23.17,,,,
0,4.9593138888889,23.09,,,,
0,4.9593138888889,23.06,,,,
0,4.9593138888889,23.04,,,,
0,4.9593138888889,23.01,,,,
0.01,4.95931666666668,23,,,,
-0.01,4.9593138888889,22.98,,,,
0.01,4.95931666666668,22.99,,,,
0,4.95931666666668,22.96,,,,
0.01,4.95931944444445,22.96,,,,
-0.01,4.95931666666668,22.95,,,,
0,4.95931666666668,22.94,,,,
0,4.95931666666668,22.92,,,,
0.01,4.95931944444445,22.93,,,,
-0.01,4.95931666666668,22.92,,,,
0,4.95931666666668,22.9,,,,
0,4.95931666666668,22.9,,,,
0,4.95931666666668,22.89,,,,
0,4.95931666666668,22.89,,,,
0,4.95931666666668,22.89,,,,
0,4.95931666666668,22.89,,,,
-0.01,4.9593138888889,22.89,,,,
-0.01,4.95931111111112,22.87,,,,
0,4.95931111111112,22.87,,,,
0.01,4.9593138888889,22.88,,,,
0,4.9593138888889,22.87,,,,
-0.01,4.95931111111112,22.87,,,,
