N,I_Real,U_Real,U_linear_SUN_model,U_result_kf,OCV_from_SOC,SOC_from_OCV,U_non_linear,U_ekf_result,Err_non_linear
1,0,51.17,51.1122,51.169,51.1586,0.996902,51.2023,51.1706,0.0323354
2,0,51.17,51.1122,51.1695,51.1583,0.996902,51.2023,51.1703,0.0323354
3,0,51.17,51.1122,51.1697,51.1583,0.996902,51.2023,51.1702,0.0323354
4,0,51.17,51.1122,51.1698,51.1582,0.996902,51.2023,51.1701,0.0323354
5,0,51.17,51.1122,51.1698,51.1582,0.996902,51.2023,51.1701,0.0323354
6,0.01,51.2,51.1157,51.1777,51.1632,1.00001,51.2023,51.1751,0.00233536
7,-0.01,51.17,51.1088,51.1707,51.1619,0.996902,51.2058,51.1773,0.0358029
8,0,51.2,51.1122,51.1773,51.1656,1.00001,51.1989,51.1741,0.0011322
9,0,51.2,51.1122,51.1798,51.1681,1.00001,51.2023,51.18,0.00233536
10,0,51.17,51.1122,51.1788,51.1671,0.996902,51.2023,51.179,0.0323354
11,-0.01,51.17,51.1088,51.1749,51.1663,0.996902,51.2023,51.1782,0.0323354
12,-0.01,51.17,51.1088,51.1745,51.1659,0.996902,51.1989,51.1744,0.0288678
13,0,51.17,51.1122,51.1774,51.1656,0.996902,51.1989,51.174,0.028864
14,0,51.17,51.1122,51.1769,51.165,0.996902,51.2023,51.1769,0.0323315
15,0,51.17,51.1122,51.1764,51.1646,0.996902,51.2023,51.1765,0.0323315
16,0.01,51.2,51.1157,51.1811,51.166,1.00001,51.2023,51.178,0.00233154
17,0,51.17,51.1122,51.1772,51.1654,0.996902,51.2058,51.1807,0.0357991
18,0.01,51.2,51.1157,51.1817,51.1666,1.00001,51.2023,51.1786,0.00233154
19,0.01,51.2,51.1157,51.1826,51.1676,1.00001,51.2058,51.183,0.0057991
20,0.01,51.2,51.1157,51.1834,51.1684,1.00001,51.2058,51.1838,0.00580292
21,0.01,51.2,51.1157,51.1841,51.1692,1.00001,51.2058,51.1846,0.00580292
22,0,51.17,51.1122,51.1802,51.1685,0.996902,51.2058,51.1839,0.0358029
23,0.01,51.2,51.1157,51.1844,51.1694,1.00001,51.2023,51.1813,0.00233917
24,-0.01,51.17,51.1088,51.1772,51.1688,0.996902,51.2058,51.1842,0.0358067
25,-0.01,51.17,51.1088,51.1769,51.1685,0.996902,51.1989,51.1769,0.0288754
26,-0.01,51.17,51.1088,51.1767,51.1682,0.996902,51.1989,51.1767,0.0288716
27,0,51.17,51.1122,51.1798,51.168,0.996902,51.1989,51.1764,0.0288716
28,-0.01,51.17,51.1088,51.1761,51.1676,0.996902,51.2023,51.1795,0.0323354
29,-0.01,51.19,51.1088,51.1766,51.1681,0.99898,51.1989,51.1766,0.0088678
30,0,51.17,51.1122,51.1797,51.1679,0.996902,51.1989,51.1763,0.0288678
31,-0.01,51.17,51.1088,51.1761,51.1675,0.996902,51.2023,51.1795,0.0323315
32,-0.01,51.17,51.1088,51.1759,51.1674,0.996902,51.1989,51.1758,0.028864
33,0,51.17,51.1122,51.1791,51.1672,0.996902,51.1989,51.1756,0.028864
34,0,51.17,51.1122,51.1789,51.1669,0.996902,51.2023,51.1788,0.0323277
35,0,51.2,51.1122,51.1794,51.1675,1.00001,51.2023,51.1795,0.00232773
36,-0.01,51.15,51.1088,51.1754,51.1667,0.994813,51.2023,51.1786,0.0523277
37,0.01,51.2,51.1157,51.1826,51.1674,1.00001,51.1989,51.1759,0.00113983
38,-0.01,51.15,51.1088,51.1752,51.1665,0.994813,51.2058,51.1819,0.0557953
39,-0.01,51.17,51.1088,51.1751,51.1664,0.996902,51.1989,51.1748,0.0288602
40,-0.01,51.19,51.1088,51.1754,51.1668,0.99898,51.1989,51.1752,0.00886017
41,0,51.17,51.1122,51.1787,51.1666,0.996902,51.1989,51.1751,0.0288602
42,-0.01,51.17,51.1088,51.1751,51.1664,0.996902,51.2023,51.1783,0.0323239
43,-0.01,51.17,51.1088,51.175,51.1663,0.996902,51.1989,51.1748,0.0288564
44,0,51.17,51.1122,51.1783,51.1662,0.996902,51.1989,51.1747,0.0288564
45,0,51.17,51.1122,51.1782,51.166,0.996902,51.2023,51.1779,0.0323201
46,0.01,51.2,51.1157,51.1819,51.1665,1.00001,51.2023,51.1785,0.0023201
47,-0.01,51.17,51.1088,51.175,51.1662,0.996902,51.2058,51.1816,0.0357877
48,0,51.19,51.1122,51.1786,51.1666,0.99898,51.1989,51.175,0.00885635
49,-0.01,51.17,51.1088,51.1751,51.1664,0.996902,51.2023,51.1783,0.0323201
50,0,51.17,51.1122,51.1784,51.1663,0.996902,51.1989,51.1747,0.0288525
51,0,51.17,51.1122,51.1783,51.1661,0.996902,51.2023,51.178,0.0323201
52,0,51.16,51.1122,51.178,51.1658,0.995859,51.2023,51.1777,0.0423201
53,0,51.17,51.1122,51.1779,51.1656,0.996902,51.2023,51.1776,0.0323201
54,-0.01,51.16,51.1088,51.1743,51.1653,0.995859,51.2023,51.1772,0.0423201
55,0.01,51.2,51.1157,51.1814,51.1658,1.00001,51.1989,51.1743,0.00114746
56,0,51.19,51.1122,51.1781,51.1659,0.99898,51.2058,51.1814,0.0157838
57,-0.01,51.17,51.1088,51.1746,51.1658,0.996902,51.2023,51.1777,0.0323201
58,-0.01,51.17,51.1088,51.1746,51.1657,0.996902,51.1989,51.1742,0.0288525
59,-0.01,51.17,51.1088,51.1745,51.1657,0.996902,51.1988,51.1741,0.0288487
60,0,51.2,51.1122,51.1782,51.1661,1.00001,51.1988,51.1746,0.00115128
61,-0.01,51.17,51.1088,51.1747,51.166,0.996902,51.2023,51.1779,0.0323125
62,-0.01,51.17,51.1088,51.1746,51.1659,0.996902,51.1988,51.1743,0.0288449
63,0,51.17,51.1122,51.178,51.1658,0.996902,51.1988,51.1743,0.0288449
64,-0.01,51.15,51.1088,51.1743,51.1654,0.994813,51.2023,51.1773,0.0523087
65,-0.01,51.19,51.1088,51.1745,51.1656,0.99898,51.1988,51.1741,0.00884109
66,-0.01,51.19,51.1088,51.1746,51.1659,0.99898,51.1988,51.1744,0.00884109
67,-15.1,48.42,45.9071,45.9926,51.125,0.693935,51.1988,51.1277,2.77884
68,-15.1,47.98,45.9048,46.0057,51.1524,0.660628,45.9672,45.9363,2.01278
69,-15.1,47.71,45.9025,46.0163,51.1754,0.644963,45.9645,45.9588,1.74547
70,-15.1,47.56,45.9001,46.0252,51.1958,0.638048,45.9618,45.9789,1.59816
71,-15.1,47.49,45.8978,46.0332,51.2147,0.63529,45.9592,45.9977,1.53085
72,-15.1,47.46,45.8954,46.0406,51.2329,0.634202,45.9565,46.0158,1.50354
73,-15.09,47.45,45.8965,46.0511,51.2504,0.633852,45.9538,46.0334,1.49622
74,-15.1,47.38,45.8908,46.0538,51.2666,0.631583,45.9546,46.0529,1.42544
75,-15.1,47.4,45.8884,46.0599,51.2827,0.632199,45.9484,46.0656,1.45159
76,-15.09,47.41,45.8895,46.0691,51.2986,0.632517,45.9457,46.0816,1.46427
