N,I_Real,SOC,U_Real,U_linear_SUN_model,U_result_kf,OCV_from_SOC,SOC_from_OCV,U_non_linear,U_ekf_result,Err_non_linear,squared_Err_non_linear,SOC,,,,,,
1,-0.69,0.998997,26.03,27.8159,26.0298,78.6952,54.6212,-246844,-295120,1.78593,3.1895459649,0.998997,,,,,,
2,-0.64,0.998995,26.04,27.818,26.0359,79.2791,54.5518,-245439,-293311,1.778,3.161284,0.998995,,0.139589999134504,,,,
3,-0.69,0.998993,26.03,27.8159,26.0325,79.279,54.6212,-245540,-293410,1.78588,3.1893673744,0.998993,,,,,,
4,-0.69,0.99899,26.03,27.8159,26.0319,79.279,54.6212,-245438,-293308,1.78586,3.1892959396,0.99899,,,,,,
5,-0.64,0.998988,26.03,27.8179,26.0332,79.2789,54.6212,-245437,-293306,1.78793,3.1966936849,0.998988,,,,Covariances,Column 1,Column 2
6,-0.64,0.998985,26.03,27.8179,26.0326,79.2789,54.6212,-245538,-293405,1.78791,3.1966221681,0.998985,,,,Column 1,515.788011099592,
7,-0.64,0.998983,26.04,27.8179,26.0337,79.2788,54.5518,-245538,-293403,1.77789,3.1608928521,0.998983,,,,Column 2,-0.00168037463348517,0.0142639706266592
8,-0.64,0.99898,26.03,27.8179,26.0332,79.2788,54.6212,-245537,-293402,1.78787,3.1964791369,0.99898,,,,,,
9,-0.64,0.998978,26.02,27.8178,26.0317,79.2787,54.6906,-245537,-293400,1.79785,3.2322646225,0.998978,,,,,,
10,-0.64,0.998976,26.03,27.8178,26.0315,79.2787,54.6212,-245536,-293398,1.78783,3.1963361089,0.998976,,,,,,
11,-0.74,0.998973,26.01,27.8136,26.0258,79.2786,54.7602,-245535,-293397,1.80361,3.2530090321,0.998973,,,,,,
12,-0.69,0.99897,26.02,27.8157,26.0272,79.2786,54.6906,-245331,-293193,1.79568,3.2244666624,0.99897,,,,,,
13,-0.69,0.998968,26.01,27.8157,26.0259,79.2785,54.7602,-245432,-293292,1.80566,3.2604080356,0.998968,,,,Covariances,Column 1,Column 2
14,-0.64,0.998965,26.03,27.8177,26.0281,79.2785,54.6212,-245432,-293291,1.78773,3.1959785529,0.998965,,,,Column 1,515.788011099592,
15,-0.64,0.998963,26.02,27.8177,26.0276,79.2785,54.6906,-245533,-293390,1.79771,3.2317612441,0.998963,,,,Column 2,-0.00168037463348517,0.0142639706266592
16,-0.64,0.998961,26.02,27.8177,26.0271,79.2784,54.6906,-245532,-293388,1.79769,3.2316893361,0.998961,,,,,,
17,-0.64,0.998958,26.02,27.8177,26.0267,79.2784,54.6906,-245532,-293387,1.79767,3.2316174289,0.998958,,,,,,
18,-0.64,0.998956,26.02,27.8176,26.0264,79.2783,54.6906,-245531,-293385,1.79765,3.2315455225,0.998956,,,,,,
19,-0.64,0.998954,26.03,27.8176,26.0265,79.2783,54.6212,-245531,-293383,1.78763,3.1956210169,0.998954,,,,,,
20,-0.64,0.998951,26.02,27.8176,26.0262,79.2782,54.6906,-245530,-293382,1.79761,3.2314017121,0.998951,,,,,,
